game_id,home_team,win
3409,DAL,1
3410,OAK,1
3411,NE,0
3412,TEN,1
3413,DET,0
3414,TB,0
3415,KC,0
3416,DAL,0
3417,NYJ,0
3418,MIA,1
3419,PHI,0
3420,JAC,0
3421,GB,1
3422,CAR,1
3423,BAL,1
3424,PIT,0
3425,HOU,0
3426,DEN,1
3427,ARI,0
3428,SEA,1
3429,CIN,1
3430,BUF,1
3431,IND,1
3432,ATL,0
3433,NYG,1
3434,DET,0
3435,NE,1
3436,NO,0
3437,PIT,1
3438,TEN,1
3439,MIN,1
3440,SF,1
3441,DEN,1
3442,SD,1
3443,SEA,1
3444,WAS,1
3445,HOU,1
3446,GB,1
3447,BAL,1
3448,WAS,0
3449,DEN,0
3450,SF,1
3451,ATL,1
3452,NE,1
3453,ATL,0
3454,NE,0
3455,SF,0
3456,DEN,1
3457,BUF,0
3458,CHI,1
3459,CLE,0
3460,IND,1
3461,JAC,0
3462,NYJ,1
3463,PIT,0
3464,NO,1
3465,CAR,0
3466,DET,1
3467,SF,1
3468,STL,1
3469,DAL,1
3470,WAS,0
3471,SD,0
3472,NE,1
3473,KC,1
3474,ATL,1
3475,PHI,0
3476,HOU,1
3477,IND,0
3478,BUF,1
3479,BAL,1
3480,GB,1
3481,CHI,1
3482,TB,0
3483,ARI,1
3484,OAK,1
3485,NYG,0
3486,SEA,1
3487,CIN,1
3488,PHI,0
3489,NE,1
3490,NO,1
3491,TEN,1
3492,CIN,1
3493,BAL,1
3494,MIN,0
3495,CAR,1
3496,DAL,1
3497,WAS,0
3498,MIA,1
3499,SEA,1
3500,SF,0
3501,NYJ,1
3502,PIT,0
3503,DEN,1
3504,STL,0
3505,DET,1
3506,JAC,0
3507,HOU,0
3508,CLE,1
3509,BUF,1
3510,MIN,1
3511,TB,0
3512,KC,1
3513,TEN,1
3514,SD,1
3515,OAK,0
3516,DEN,1
3517,ATL,0
3518,NO,1
3519,CLE,1
3520,CIN,1
3521,MIA,0
3522,IND,1
3523,TEN,0
3524,STL,1
3525,CHI,0
3526,GB,1
3527,NYG,0
3528,ARI,1
3529,DAL,0
3530,SF,1
3531,OAK,1
3532,ATL,0
3533,CHI,1
3534,MIN,0
3535,TB,0
3536,NYJ,0
3537,KC,1
3538,HOU,0
3539,CLE,0
3540,BAL,0
3541,BUF,0
3542,DEN,1
3543,SEA,1
3544,NE,1
3545,SF,1
3546,DAL,1
3547,SD,1
3548,ARI,0
3549,ATL,1
3550,NYJ,1
3551,JAC,0
3552,KC,1
3553,MIA,0
3554,DET,0
3555,PHI,0
3556,CAR,1
3557,WAS,1
3558,TEN,0
3559,PIT,1
3560,GB,1
3561,IND,1
3562,NYG,1
3563,TB,0
3564,DET,1
3565,PHI,0
3566,KC,1
3567,NO,1
3568,JAC,0
3569,NE,1
3570,OAK,1
3571,CIN,1
3572,DEN,1
3573,ARI,1
3574,MIN,0
3575,STL,0
3576,MIA,1
3577,BUF,0
3578,CAR,1
3579,WAS,1
3580,NYJ,1
3581,STL,0
3582,DAL,1
3583,SEA,1
3584,OAK,0
3585,NE,1
3586,CLE,1
3587,HOU,0
3588,GB,0
3589,MIN,1
3590,GB,0
3591,CHI,0
3592,IND,0
3593,BAL,1
3594,PIT,1
3595,TEN,0
3596,NYG,1
3597,ATL,0
3598,SF,0
3599,ARI,1
3600,SD,0
3601,NO,1
3602,TB,1
3603,TEN,0
3604,HOU,0
3605,BUF,1
3606,CIN,1
3607,CHI,1
3608,MIA,1
3609,JAC,0
3610,TB,1
3611,PIT,1
3612,PHI,1
3613,SEA,1
3614,NO,1
3615,NYG,1
3616,DEN,1
3617,CAR,1
3618,ATL,0
3619,MIA,0
3620,KC,0
3621,CLE,0
3622,HOU,0
3623,BAL,1
3625,DET,0
3626,STL,1
3627,ARI,1
3628,OAK,0
3629,NYG,0
3630,NE,1
3631,WAS,0
3632,DET,1
3633,DAL,1
3634,BAL,1
3635,KC,0
3636,CLE,0
3637,IND,1
3638,PHI,1
3639,NYJ,0
3640,MIN,1
3641,CAR,1
3642,SF,1
3643,BUF,0
3644,SD,0
3645,HOU,0
3646,WAS,0
3647,SEA,1
3648,JAC,1
3649,NE,1
3650,CIN,1
3651,TB,1
3652,GB,1
3653,BAL,1
3654,PIT,0
3655,NYJ,1
3656,WAS,0
3657,PHI,1
3658,DEN,1
3659,ARI,1
3660,SD,1
3661,SF,1
3662,NO,1
3663,CHI,1
3664,DEN,0
3665,CLE,0
3666,IND,1
3667,JAC,0
3668,ATL,1
3669,MIA,1
3670,TB,0
3671,NYG,0
3672,STL,1
3673,MIN,1
3674,TEN,0
3675,CAR,1
3676,OAK,0
3677,DAL,0
3678,PIT,1
3679,DET,0
3680,CIN,1
3681,BUF,1
3682,KC,0
3683,NYJ,1
3684,HOU,0
3685,JAC,0
3686,WAS,0
3687,CAR,1
3688,STL,1
3689,DET,0
3690,SEA,0
3691,GB,0
3692,SD,1
3693,BAL,0
3694,PHI,1
3695,SF,1
3696,ATL,0
3697,MIA,0
3698,CIN,1
3699,PIT,1
3700,IND,1
3701,TEN,1
3702,MIN,1
3703,NYG,1
3704,CHI,0
3705,NE,1
3706,NO,1
3707,SEA,1
3708,OAK,0
3709,SD,1
3710,ARI,0
3711,DAL,0
3712,IND,1
3713,PHI,0
3714,CIN,0
3715,GB,0
3716,SEA,1
3717,NE,1
3718,CAR,0
3719,DEN,1
3720,DEN,1
3721,SEA,1
3722,DEN,0
3723,SEA,1
3724,ATL,1
3725,CHI,0
3726,KC,0
3727,STL,0
3728,MIA,1
3729,NYJ,1
3730,PHI,1
3731,PIT,1
3732,BAL,0
3733,HOU,1
3734,DAL,0
3735,TB,0
3736,DEN,1
3737,DET,1
3738,ARI,1
3739,BAL,1
3740,BUF,1
3741,CIN,1
3742,CLE,1
3743,TEN,0
3744,MIN,0
3745,NYG,0
3746,WAS,1
3747,CAR,1
3748,SD,1
3749,TB,0
3750,DEN,1
3751,GB,1
3752,OAK,0
3753,SF,0
3754,IND,0
3755,ATL,1
3756,BUF,0
3757,CIN,1
3758,CLE,0
3759,DET,1
3760,STL,0
3761,NE,1
3762,NO,1
3763,NYG,1
3764,PHI,1
3765,JAC,0
3766,ARI,1
3767,MIA,0
3768,SEA,1
3769,CAR,0
3770,NYJ,0
3771,WAS,0
3772,CHI,0
3773,IND,1
3774,OAK,0
3775,NYJ,0
3776,PIT,0
3777,BAL,1
3778,HOU,1
3779,SD,1
3780,MIN,1
3781,SF,1
3782,DAL,1
3783,KC,1
3784,GB,1
3785,DAL,1
3786,DET,0
3787,TEN,0
3788,IND,1
3789,NO,1
3790,NYG,1
3791,PHI,1
3792,CAR,1
3793,JAC,0
3794,DEN,1
3795,SD,1
3796,SF,1
3797,NE,1
3798,WAS,0
3799,HOU,0
3800,ATL,0
3801,BUF,0
3803,CLE,1
3804,TEN,1
3805,MIA,0
3806,MIN,0
3807,NYJ,0
3808,TB,0
3809,OAK,0
3810,ARI,1
3811,SEA,0
3812,PHI,1
3813,STL,0
3814,NE,1
3815,BUF,1
3816,CHI,0
3817,DET,1
3818,GB,1
3819,IND,1
3820,STL,1
3821,WAS,1
3822,JAC,1
3823,BAL,1
3824,SD,0
3825,DAL,1
3826,OAK,0
3827,DEN,1
3828,PIT,1
3829,DEN,1
3830,ATL,0
3831,CIN,1
3832,TEN,0
3833,KC,1
3834,NE,1
3835,NYJ,0
3836,TB,0
3837,CAR,0
3838,JAC,0
3839,ARI,1
3840,CLE,1
3841,PIT,1
3842,NO,1
3843,DAL,0
3844,CAR,0
3845,CIN,1
3846,CLE,1
3847,DAL,0
3848,KC,1
3849,MIA,1
3850,MIN,1
3851,HOU,0
3852,SF,0
3853,NE,1
3854,SEA,1
3855,PIT,1
3856,NYG,0
3857,CIN,0
3858,BUF,0
3859,DET,1
3860,NO,0
3861,NYJ,1
3862,TB,0
3863,JAC,0
3864,BAL,1
3865,OAK,0
3866,ARI,1
3867,SEA,1
3868,GB,1
3869,PHI,1
3870,MIA,1
3871,CHI,1
3872,CLE,0
3873,GB,1
3874,KC,1
3875,STL,1
3876,NO,0
3877,NYG,0
3878,WAS,0
3879,CAR,0
3880,SD,1
3881,ARI,1
3882,IND,0
3883,TEN,0
3884,OAK,1
3885,ATL,0
3886,CHI,1
3887,IND,1
3888,MIN,0
3889,NE,1
3890,PHI,1
3891,HOU,0
3892,SD,1
3893,SEA,1
3894,DEN,1
3895,SF,1
3896,NYG,0
3897,BUF,1
3898,NO,0
3899,DET,1
3900,DAL,0
3901,SF,0
3902,BUF,1
3903,IND,1
3904,STL,1
3905,MIN,1
3906,PIT,0
3907,TB,0
3908,JAC,1
3909,BAL,0
3910,HOU,1
3911,ATL,1
3912,GB,1
3913,KC,0
3914,NYJ,0
3915,CHI,0
3916,CIN,0
3917,CLE,0
3918,DET,1
3919,TEN,0
3920,MIA,0
3921,MIN,1
3922,NO,0
3923,WAS,0
3924,JAC,0
3925,DEN,1
3926,ARI,1
