game_id,team,average_starting_field_position,season
3584,PHI,29.8571,2013
3585,NE,34.2857,2013
3585,PIT,26.3571,2013
3586,BAL,31.0000,2013
3586,CLE,30.0000,2013
3587,HOU,26.5000,2013
3587,IND,29.8333,2013
3588,CHI,24.0909,2013
3588,GB,31.1667,2013
3589,MIN,31.6000,2013
3589,WAS,25.1111,2013
3590,GB,25.4000,2013
3590,PHI,32.6000,2013
3591,CHI,30.8182,2013
3591,DET,27.0000,2013
3592,IND,24.3571,2013
3592,STL,26.9167,2013
3593,BAL,37.1333,2013
3593,CIN,26.5625,2013
3594,BUF,33.5000,2013
3594,PIT,32.4167,2013
3595,JAC,35.3333,2013
3595,TEN,26.7333,2013
3596,NYG,30.8182,2013
3596,OAK,40.7273,2013
3597,ATL,18.0000,2013
3597,SEA,24.0000,2013
3598,CAR,32.7500,2013
3598,SF,28.4615,2013
3599,ARI,27.0769,2013
3599,HOU,31.3571,2013
3600,DEN,19.0000,2013
3600,SD,30.8182,2013
3601,DAL,27.0000,2013
3601,NO,25.1000,2013
3602,MIA,29.1818,2013
3602,TB,27.4167,2013
3603,IND,34.7000,2013
3603,TEN,23.2500,2013
3604,HOU,24.4375,2013
3604,OAK,28.7222,2013
3605,BUF,35.5714,2013
3605,NYJ,25.9286,2013
3606,CIN,41.7059,2013
3606,CLE,24.1176,2013
3607,BAL,23.8182,2013
3607,CHI,25.8182,2013
3608,MIA,21.0000,2013
3608,SD,25.8000,2013
3609,ARI,23.3571,2013
3609,JAC,34.1429,2013
3610,ATL,21.7500,2013
3610,TB,38.3333,2013
3611,DET,26.6154,2013
3611,PIT,35.1429,2013
3612,PHI,22.9167,2013
3612,WAS,20.0000,2013
3613,MIN,25.1538,2013
3613,SEA,38.5833,2013
3614,NO,25.9091,2013
3614,SF,37.0000,2013
3615,GB,22.0833,2013
3615,NYG,27.4000,2013
3616,DEN,24.2308,2013
3616,KC,28.7857,2013
3617,CAR,15.7143,2013
3617,NE,27.2857,2013
3618,ATL,21.7778,2013
3618,NO,21.8889,2013
3619,CAR,23.6923,2013
3619,MIA,31.4615,2013
3620,KC,26.6923,2013
3620,SD,32.5833,2013
3621,CLE,21.7857,2013
3621,PIT,40.0769,2013
3622,HOU,23.6364,2013
3622,JAC,28.5000,2013
3623,BAL,36.1538,2013
3623,NYJ,22.9231,2013
3624,GB,21.6000,2013
3624,MIN,29.1429,2013
3625,DET,28.3333,2013
3625,TB,33.0000,2013
3626,CHI,18.4000,2013
3626,STL,30.7000,2013
3627,ARI,36.4000,2013
3627,IND,20.1818,2013
3628,OAK,28.8182,2013
3628,TEN,28.8000,2013
3629,DAL,25.0909,2013
3629,NYG,25.2500,2013
3630,DEN,28.6429,2013
3630,NE,34.1111,2013
3631,SF,42.9167,2013
3631,WAS,24.0833,2013
3632,DET,31.4615,2013
3632,GB,24.3636,2013
3633,DAL,31.2727,2013
3633,OAK,25.5455,2013
3634,BAL,37.5556,2013
3634,PIT,23.2500,2013
3635,DEN,19.0000,2013
3635,KC,23.3000,2013
3636,CLE,23.0714,2013
3636,JAC,38.1429,2013
3637,IND,28.2308,2013
3637,TEN,29.8333,2013
3638,ARI,18.7692,2013
3638,PHI,36.2308,2013
3639,MIA,39.2308,2013
3639,NYJ,23.3333,2013
3640,CHI,26.7857,2013
3640,MIN,25.8571,2013
3641,CAR,33.1818,2013
3641,TB,25.7273,2013
3642,SF,31.6667,2013
3642,STL,20.7273,2013
3643,ATL,31.4667,2013
3643,BUF,25.2143,2013
3644,CIN,24.2000,2013
3644,SD,23.7000,2013
3645,HOU,29.1667,2013
3645,NE,26.8182,2013
3646,NYG,28.0833,2013
3646,WAS,32.1667,2013
3647,NO,23.9091,2013
3647,SEA,21.6000,2013
3648,HOU,25.0000,2013
3648,JAC,29.3077,2013
3649,CLE,22.4167,2013
3649,NE,22.0000,2013
3650,CIN,28.2308,2013
3650,IND,26.0833,2013
3651,BUF,25.0000,2013
3651,TB,39.6000,2013
3652,ATL,27.9000,2013
3652,GB,32.6667,2013
3653,BAL,31.3333,2013
3653,MIN,26.4667,2013
3654,MIA,34.3846,2013
3654,PIT,24.1667,2013
3655,NYJ,34.4000,2013
3655,OAK,23.2727,2013
3656,KC,44.2500,2013
3656,WAS,28.4286,2013
3657,DET,35.2500,2013
3657,PHI,25.7857,2013
3658,DEN,38.4167,2013
3658,TEN,26.4545,2013
3659,ARI,32.9091,2013
3659,STL,18.3333,2013
3660,NYG,25.8000,2013
3660,SD,36.5000,2013
3661,SEA,25.3000,2013
3661,SF,30.9091,2013
3662,CAR,27.7000,2013
3662,NO,29.9000,2013
3663,CHI,31.5556,2013
3663,DAL,31.0000,2013
3664,DEN,19.1111,2013
3664,SD,34.1000,2013
3665,CHI,29.9167,2013
3665,CLE,20.8182,2013
3666,HOU,24.0714,2013
3666,IND,35.3571,2013
3667,BUF,33.2308,2013
3667,JAC,31.8333,2013
3668,ATL,37.6667,2013
3668,WAS,27.8571,2013
3669,MIA,23.5000,2013
3669,NE,20.2000,2013
3670,SF,37.7500,2013
3670,TB,19.9091,2013
3671,NYG,22.1429,2013
3671,SEA,36.4615,2013
3672,NO,20.8000,2013
3672,STL,31.5455,2013
3673,MIN,39.3333,2013
3673,PHI,25.6154,2013
3674,ARI,31.4167,2013
3674,TEN,25.9167,2013
