Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Purdue,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,"62,500","62,500","57,236","57,236"
Rice,70000,70000,70000,70000,70000,70000,70000,70000,47000,47000,47000,47000,47000,"47,000","47,000","47,000","47,000"
Rutgers,41500,41500,41500,41500,41500,41500,41500,42000,42000,52454,52454,52454,52454,"52,454","52,454","52,454","52,454"
San Diego St.,54000,54000,54000,54000,54000,54000,54000,51000,51000,51000,51000,51000,51000,"51,000","51,000","51,000","51,000"
San Jose St.,30456,30456,30456,30456,30456,30456,30456,31218,30456,30456,30456,30456,30456,"30,456","30,456","32,471","32,471"
SMU,32000,32000,32000,32000,32000,32000,32000,32000,93607,32000,32000,32000,32000,"32,000","32,000","32,000","32,000"
South Ala.,,,,,,,,,,,,,40000,"40,000","33,471","33,471","33,471"
South Carolina,80250,80250,80250,80250,80250,80250,80250,80250,32000,80250,80250,80250,80250,"80,250","80,250","80,250","80,250"
South Fla.,,41441,41441,41441,41441,41441,41441,65657,80250,41441,41441,65857,41441,"65,857","65,857","65,857","65,857"
Southern California,92000,92000,92000,92000,92000,92000,92000,92000,65657,93607,93607,93607,93607,"93,607","93,607","93,607","93,607"
Southern Miss.,33000,33000,33000,33000,33000,33000,33000,33000,36000,36000,36000,36000,36000,"36,000","36,000","36,000","36,000"
Stanford,85500,85500,85500,85500,85500,50000,50000,50000,50000,50000,50000,50000,50000,"50,000","50,000","50,000","50,000"
Syracuse,49550,49550,49550,49550,49550,49262,49262,49550,49550,49262,52000,49262,52000,"52,000","52,000","52,000","52,000"
TCU,44008,44008,44008,44008,44008,44008,44008,44008,44358,44358,44358,32000,44008,"45,000","45,000","45,000","45,000"
Temple,66592,66592,66592,66592,66592,66592,66592,68532,68532,68532,68532,68532,68532,"68,532","68,532","68,532","68,532"
Tennessee,104079,104079,104079,104079,104079,104079,104079,102038,102038,100011,102459,102455,102459,"102,459","102,455","102,455","102,455"
Texas,80082,80082,80082,80082,80082,80082,80082,85123,94113,94113,100119,100119,100119,"100,119","100,119","100,119","100,119"
Texas A&M,82600,82600,82600,82600,82600,82600,82600,82600,83002,83002,83002,83002,82600,"82,589","106,300","106,300","106,300"
Texas St.,,,,,,,,,,,,,16000,"30,000","30,000","30,000","30,000"
Texas Tech,52882,52882,52882,52882,52882,52882,52882,52882,53774,53774,53774,53774,60454,"60,454","60,454","60,454","60,454"
Toledo,26248,26248,26248,26248,26248,26248,26248,26248,26248,26248,26248,26248,26248,"26,248","26,244","26,244","26,244"
Troy,,,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,"30,000","30,000","30,000","30,000"
Tulane,69767,69767,69767,69767,69767,69767,69767,69767,62556,69767,69767,69767,69767,"69,767","69,767","69,767","69,767"
Tulsa,35542,35542,35542,35542,35542,35542,35542,35542,30000,30000,30000,30000,30000,"30,000","30,000","30,000","30,000"
UAB,83091,83091,83091,83091,83091,83091,83091,83091,72000,72000,72000,72000,72000,"72,000","72,000",,
UCF,70188,70188,70188,70188,70188,65438,65438,45301,45323,45323,45323,45323,45000,"45,323","45,323","44,206","44,206"
UCLA,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91136,91136,91136,"91,136","91,136","91,136","91,136"
UConn,,,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,"40,000","40,000","40,000","40,000"
UNLV,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,"36,800","36,800","36,800","36,800"
Utah,45634,45634,45634,45634,45634,45634,45634,45634,45017,45017,45017,45017,45634,"45,634","45,634","45,807","45,807"
Utah St.,30257,30257,30257,30257,30257,30257,30257,30257,25513,25513,25513,25513,25513,"25,513","25,513","22,044","22,044"
UTEP,52000,52000,52000,52000,52000,51500,51500,51500,51500,51500,51500,51500,52000,"52,000","52,000","52,000","52,000"
UTSA,,,,,,,,,,,,,,"65,000","65,000","65,000","65,000"
Vanderbilt,39773,39773,39773,39773,39773,39773,39773,39773,39773,39773,39790,39773,40550,"40,330","40,350","40,350","40,350"
Virginia,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,"61,500","61,500","61,500","61,500"
Virginia Tech,66233,66233,66233,66233,66233,66233,66233,66233,66233,66233,66233,66233,65115,"65,632","65,632","65,632","65,632"
Wake Forest,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,"31,500","31,500","31,500","31,500"
Washington,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,"70,000","70,138","70,138","70,138"
Washington St.,35117,35117,35117,35117,35117,35117,35117,37600,37600,35117,37600,35117,37600,"32,740","32,740","32,740","32,740"
West Virginia,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,"60,000","60,000","60,000","60,000"
Western Ky.,,,,,,,,17500,23000,23500,22113,22113,22113,"22,113","22,113","22,113","22,113"
Western Mich.,30200,30200,30200,30200,30200,30200,30200,30200,36000,30200,30200,30200,30200,"30,200","30,200","30,200","30,200"
Wisconsin,80360,80360,80360,80360,80360,80360,80360,80321,80321,80321,80321,80321,80321,"80,321","80,321","80,321","80,321"
Wyoming,32580,32580,32580,32580,32580,32580,32580,33500,30514,30514,30514,29181,30514,"29,181","29,181","29,181","29,181"
