Team,Year,ResponsiveRev,TicketRevFB,ContribsFB,ConcessFB,SponsFB,CampsFB
Indiana,2011,6084414,4711558,1151,1074001,297704,0
Indiana,2012,6181441,4351066,0,1094575,735800,0
Indiana,2013,6842940,4930838,0,1084213,827889,0
Indiana,2014,25542918,6585484,16792186,1284712,880536,0
Iowa,2010,35140285,19281679,11988573,1260005,2450551,159477
Iowa,2011,31318039,20272653,7322802,1225863,2346279,150442
Iowa,2012,34543227,21034457,9606036,1138110,2722780,41844
Iowa,2013,39690469,21654881,13916328,1358027,2716467,44766
Iowa,2014,25355079,21042903,450000,1158390,2653467,50319
Iowa State,2010,11188287,8178339,2407557,602391,0,0
Iowa State,2011,11992752,8656120,2714595,622037,0,0
Iowa State,2012,13116611,9556820,2552223,1007568,0,0
Iowa State,2013,13683254,9679617,2933564,1070073,0,0
Iowa State,2014,28774274,10278389,17402605,1093280,0,0
Kansas,2010,9686177,9281950,15250,388977,0,0
Kansas,2011,9350631,9244117,30920,75594,0,0
Kansas,2012,6627550,6561036,0,66514,0,0
Kansas,2013,5582357,5518253,0,64104,0,0
Kansas,2014,34269514,5249002,28952472,68040,0,0
Kent State,2010,488508,381485,107023,0,0,0
Kent State,2011,620577,426468,194109,0,0,0
Kent State,2012,454222,191131,250021,290,0,12780
Kent State,2013,1033720,453248,553682,0,0,26790
Kent State,2014,1210295,224751,968748,0,0,16796
Kentucky,2010,16877206,14532844,0,2026069,145000,173293
Kentucky,2011,18336831,15433628,0,2590449,145000,167754
Kentucky,2012,17733703,14984116,0,2450615,145000,153972
Kentucky,2013,14570046,11812724,0,2509196,145000,103126
Kentucky,2014,37208774,15256006,19058601,2603254,187500,103413
Louisiana Lafayette,2010,1388561,948107,343347,97107,0,0
Louisiana Lafayette,2011,1443509,627060,686739,95557,34153,0
Louisiana Lafayette,2012,3807111,1581128,1896053,189461,140469,0
Louisiana Lafayette,2013,4182042,1706117,2154715,185039,136171,0
Louisiana Lafayette,2014,9392580,2314496,6638074,287914,152096,0
Louisiana Tech,2010,1343992,736835,557671,49486,0,0
Louisiana Tech,2011,1647757,1138044,448570,61143,0,0
Louisiana Tech,2012,1598378,724517,820474,53387,0,0
Louisiana Tech,2013,2736585,1766354,887469,82762,0,0
Louisiana Tech,2014,4797749,1678855,3088904,29990,0,0
Louisville,2010,10882533,6976172,2977219,929142,0,0
Louisville,2011,19526387,11712953,6252103,1561331,0,0
Louisville,2012,17009600,9591571,6157114,1260915,0,0
Louisville,2013,20469112,13578185,5379167,1511760,0,0
Louisville,2014,44244928,13255425,29379612,1609891,0,0
LSU,2010,54345722,26424895,25716402,2204425,0,0
LSU,2011,53991160,29571245,22184862,2235053,0,0
LSU,2012,50408363,25506556,22376287,2525520,0,0
LSU,2013,57726521,33171661,21786240,2768620,0,0
LSU,2014,83798058,31841481,49333582,2622995,0,0
Marshall,2010,3528876,2094051,1056811,240415,96168,41431
Marshall,2011,4738758,3165333,1154575,278841,101079,38930
Marshall,2012,4311967,2610121,1319817,257890,91519,32620
Marshall,2013,3779981,2331989,1072774,265531,90397,19290
Marshall,2014,6688545,2521229,3775174,292531,82416,17195
Maryland,2010,6741759,6313856,0,427903,0,0
Maryland,2011,4636593,4258215,86113,292265,0,0
Maryland,2012,7411225,6615416,284304,511505,0,0
Maryland,2013,7875757,4403622,3021633,450502,0,0
Maryland,2014,18025236,6392258,11225922,407056,0,0
Massachusetts,2013,462594,321712,140882,0,0,0
Massachusetts,2014,1989032,409652,1579380,0,0,0
Memphis,2010,3508291,3412689,72317,23285,0,0
Memphis,2011,3135194,3048341,36498,50355,0,0
Memphis,2012,2345126,2295531,490,49105,0,0
Memphis,2013,2434823,2368913,13580,52330,0,0
Memphis,2014,13732984,2316184,11387709,29091,0,0
Miami (OH),2010,2508254,2081646,354341,72267,0,0
Miami (OH),2011,606783,363843,170067,72873,0,0
Miami (OH),2012,991434,576409,325270,89755,0,0
Miami (OH),2013,864029,375326,417393,71310,0,0
Miami (OH),2014,2146531,459511,1615928,71092,0,0
Michigan,2010,55386135,37166274,16669286,1550575,0,0
Michigan,2011,60121624,35747432,22452520,1921672,0,0
Michigan,2012,71536996,46447979,22522292,2566725,0,0
Michigan,2014,83951859,46108503,35267267,2576089,0,0
Michigan State,2010,29962391,17278224,11622930,726532,144500,190205
Michigan State,2011,28681179,16877139,10741076,520994,345000,196970
Michigan State,2012,32231390,17344630,13524666,812059,345000,205035
Michigan State,2013,36205883,19766146,14996003,890067,345000,208667
Michigan State,2014,48844210,17671810,29724939,867903,345000,234558
Middle Tennessee State,2010,1062416,856953,122970,82493,0,0
Middle Tennessee State,2011,1557972,850471,621699,85802,0,0
Middle Tennessee State,2012,1363045,914088,367443,81514,0,0
Middle Tennessee State,2013,769506,712863,3165,53478,0,0
Middle Tennessee State,2014,3663945,918786,2670172,74987,0,0
Minnesota,2010,15224399,10690311,3912051,622037,0,0
Minnesota,2011,14549234,10787666,3761568,0,0,0
Minnesota,2012,15243439,11237849,4005590,0,0,0
Minnesota,2013,14623569,11474840,3148729,0,0,0
Minnesota,2014,24356417,14024130,10332287,0,0,0
Mississippi,2010,14374369,11466819,2387500,520050,0,0
Mississippi,2011,14975871,11483342,2981149,511380,0,0
Mississippi,2012,15597756,11932334,3105906,559516,0,0
Mississippi,2013,26185134,14360076,11020691,725097,0,79270
Mississippi,2014,32611112,15281541,15898757,1093480,0,337334
Mississippi State,2010,8286178,8136784,0,9555,66242,73597
Mississippi State,2011,8009941,7765055,0,9284,88545,147057
Mississippi State,2012,9701594,8724850,0,913539,0,63205
