Survey Year,Institution Name,Classification Name,Football Total Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2004,Rice University,NCAA Division I-A,3486850,13227284,21622181
2004,Rutgers University-New Brunswick/Piscataway,NCAA Division I-A,10667176,10685604,37168054
2004,San Diego State University,NCAA Division I-A,6492419,13306000,25552359
2004,San Jose State University,NCAA Division I-A,1253550,11859771,13271445
2004,Southern Methodist University,NCAA Division I-A,7906391,4152142,22662220
2004,Stanford University,NCAA Division I-A,10251632,21947197,41525646
2004,SUNY at Buffalo,NCAA Division I-A,991824,14503157,16238423
2004,Syracuse University,NCAA Division I-A,16609920,3185913,42283724
2004,Temple University,NCAA Division I-A,7632247,5149508,22908255
2004,Texas A & M University,NCAA Division I-A,37714172,11164030,62815605
2004,Texas Christian University,NCAA Division I-A,7814061,3225816,21116182
2004,Texas State University-San Marcos,NCAA Division I-AA,446909,8905106,9759258
2004,Texas Tech University,NCAA Division I-A,19288846,14963312,47317246
2004,The University of Alabama,NCAA Division I-A,42979669,11177845,62287191
2004,The University of Tennessee,NCAA Division I-A,29326709,32363744,71540457
2004,The University of Texas at Austin,NCAA Division I-A,53204171,14247745,89651683
2004,The University of Texas at El Paso,NCAA Division I-A,6075559,9922568,23360464
2004,The University of Texas at San Antonio,NCAA Division I-AAA,,5895535,6808591
2004,Troy University,NCAA Division I-A,3512268,3069898,10440036
2004,Tulane University of Louisiana,NCAA Division I-A,4418197,10845600,19992612
2004,University of Akron Main Campus,NCAA Division I-A,868287,11999964,13193109
2004,University of Alabama at Birmingham,NCAA Division I-A,5033862,7789237,18216876
2004,University of Arizona,NCAA Division I-A,14631743,4310581,38985159
2004,University of Arkansas Main Campus,NCAA Division I-A,27783961,2917368,45596723
2004,University of California-Berkeley,NCAA Division I-A,17091988,11464240,43886419
2004,University of California-Los Angeles,NCAA Division I-A,18483173,17034800,44516613
2004,University of Central Florida,NCAA Division I-A,2262178,17585830,21312483
2004,University of Cincinnati-Main Campus,NCAA Division I-A,5238462,12261163,25136153
2004,University of Colorado at Boulder,NCAA Division I-A,22053568,9273540,35851791
2004,University of Connecticut,NCAA Division I-A,8958560,23775328,47178347
2004,University of Florida,NCAA Division I-A,43317641,24429242,77354484
2004,University of Georgia,NCAA Division I-A,50895838,13150811,68787384
2004,University of Hawaii at Manoa,NCAA Division I-A,5164810,11482516,20291955
2004,University of Houston,NCAA Division I-A,3073861,18290879,22543249
2004,University of Idaho,NCAA Division I-A,1996166,6187936,9554014
2004,University of Illinois at Urbana-Champaign,NCAA Division I-A,17963276,12015228,46838993
2004,University of Iowa,NCAA Division I-A,29568437,17124299,61593257
2004,University of Kansas Main Campus,NCAA Division I-A,9820327,27165185,49938178
2004,University of Kentucky,NCAA Division I-A,19631403,20161938,52883301
2004,University of Louisiana at Lafayette,NCAA Division I-A,1286266,5329861,8035657
2004,University of Louisiana at Monroe,NCAA Division I-A,1734872,3449086,5535782
2004,University of Louisville,NCAA Division I-A,11036267,9524814,39631490
