team,year,srs,lagged_srs,stateunemp,stadium_cap,num_homegames,coach_experience,conf_coy,nat_coy,new_coach
michiganstate,2014,16.07,14.74,7.23333333,"75,005",7,10,1,0,0
middletennessee,2010,-10.59,1.1,9.633333333,31000,6,4,1,0,0
middletennessee,2011,-18.86,-10.59,8.966666667,31000,6,5,1,0,0
middletennessee,2012,-2.45,-18.86,7.825,31000,5,6,1,0,0
middletennessee,2013,-3.71,-2.45,7.733333333,"31,000",6,7,1,0,0
middletennessee,2014,-3.52,-3.71,6.591666667,"31,000",6,8,1,0,0
minnesota,2010,-5.06,-0.1,7.391666667,50000,7,3,0,0,0
minnesota,2011,-6.04,-5.06,6.491666667,50805,7,3,0,0,1
minnesota,2012,-3.25,-6.04,5.608333333,50000,7,4,0,0,0
minnesota,2013,5.27,-3.25,4.958333333,"50,805",7,5,0,0,0
minnesota,2014,6.74,5.27,4.166666667,"52,525",7,6,1,0,0
mississippistate,2010,9.11,5.76,10.35833333,55082,7,1,0,0,0
mississippistate,2011,5.13,9.11,9.983333333,55082,6,2,0,0,0
mississippistate,2012,6.15,5.13,9,55082,7,3,0,0,0
mississippistate,2013,7.72,6.15,8.533333333,"55,082",7,4,0,0,0
mississippistate,2014,15.04,7.72,7.5,"61,337",7,5,0,0,0
missouri,2010,13.98,4.33,9.575,68349,6,19,1,0,0
missouri,2011,11.08,13.98,8.491666667,68349,6,20,1,0,0
missouri,2012,5.54,11.08,6.975,68349,7,21,1,0,0
missouri,2013,19.97,5.54,6.733333333,"68,349",7,22,1,0,0
missouri,2014,12.02,19.97,6.133333333,"68,349",7,23,1,0,0
ncstate,2010,11,-1.06,10.81666667,57583,6,13,0,0,0
ncstate,2011,2.57,11,10.26666667,57583,7,14,0,0,0
ncstate,2012,1.46,2.57,9.291666667,57583,6,15,0,0,0
ncstate,2013,-5.66,1.46,7.958333333,"57,583",8,2,0,0,1
ncstate,2014,4.17,-5.66,6.316666667,"57,583",7,3,0,0,0
nebraska,2010,12.85,11.41,4.625,81067,7,2,0,0,0
nebraska,2011,8.76,12.85,4.391666667,81091,7,3,0,0,0
nebraska,2012,9.79,8.76,4.016666667,81067,7,4,0,0,0
nebraska,2013,5.22,9.79,3.766666667,"87,091",8,5,0,0,0
nebraska,2014,10.26,5.22,3.266666667,"87,091",7,6,0,0,0
nevada,2010,11.96,2.19,13.5,29993,7,9,1,0,0
nevada,2011,0.47,11.96,13.01666667,29993,6,10,1,0,0
nevada,2012,-3.6,0.47,11.19166667,29993,6,11,1,0,0
nevada,2013,-3.6,-3.6,9.625,"30,000",6,0,0,0,1
nevada,2014,-0.38,-3.6,7.916666667,"30,000",6,1,0,0,0
newmexico,2010,-17.76,-15.8,8.1,39224,6,1,0,0,0
newmexico,2011,-19.31,-17.76,7.516666667,39224,6,2,0,0,0
newmexico,2012,-9.91,-19.31,7.116666667,39224,6,5,0,0,1
newmexico,2013,-14.1,-9.91,6.941666667,"39,224",6,6,0,0,0
newmexico,2014,-7.8,-14.1,6.683333333,"39,224",6,7,0,0,0
newmexicostate,2010,-18.13,-17.97,8.1,30343,6,1,0,0,0
newmexicostate,2011,-11.95,-18.13,7.516666667,30343,6,2,0,0,0
newmexicostate,2012,-19,-11.95,7.116666667,30343,6,3,0,0,0
newmexicostate,2013,-19.36,-19,6.941666667,"30,343",7,7,0,0,1
newmexicostate,2014,-18.48,-19.36,6.683333333,"30,343",6,8,0,0,0
northcarolina,2010,5.15,8.04,10.81666667,60000,6,9,1,0,0
northcarolina,2011,3.63,5.15,10.26666667,63000,7,0,0,0,1
northcarolina,2012,4.52,3.63,9.291666667,60000,7,4,0,0,1
northcarolina,2013,6.22,4.52,7.958333333,"63,000",7,5,0,0,0
northcarolina,2014,0.14,6.22,6.316666667,"63,000",6,6,0,0,0
northtexas,2010,-14.18,-14.38,8.133333333,30500,6,3,0,0,0
northtexas,2011,-9.94,-14.18,7.758333333,30850,6,12,1,0,1
northtexas,2012,-8.41,-9.94,6.741666667,30850,5,13,1,0,0
northtexas,2013,3.05,-8.41,6.25,"30,850",6,14,1,0,0
northtexas,2014,-11.91,3.05,5.108333333,"30,850",6,15,1,0,0
ohiostate,2010,17.37,14.71,10.24166667,102329,8,9,1,1,0
ohiostate,2011,4.66,17.37,8.85,102329,7,0,0,0,1
ohiostate,2012,13.81,4.66,7.408333333,102329,8,10,1,1,1
ohiostate,2013,15.65,13.81,7.425,"102,329",7,11,1,1,0
ohiostate,2014,20.44,15.65,5.8,"102,329",7,12,1,1,0
oklahoma,2010,17.11,13.21,6.775,82112,6,11,1,1,0
oklahoma,2011,19.75,17.11,5.875,82112,6,12,1,1,0
oklahoma,2012,14.32,19.75,5.266666667,82112,6,13,1,1,0
oklahoma,2013,13.19,14.32,5.283333333,"82,112",6,14,1,1,0
oklahoma,2014,10.21,13.19,4.508333333,"82,112",6,15,1,1,0
oklahomastate,2010,16.62,8.01,6.775,60218,7,5,1,1,0
oklahomastate,2011,24.14,16.62,5.875,60218,6,6,1,1,0
oklahomastate,2012,13.5,24.14,5.266666667,60218,7,7,1,1,0
