Program,Year,ResponsiveRev,TwoStars,ThreeStars,FourStars,FiveStars,srs,lagged_srs,stateunemp,stadium_cap,stadium_years_open,stadium_years_rennovation,num_homegames,coach_experience,conf_coy,nat_coy,coach_years_at_school,new_coach,pop/d1prog,hs_grad_pct,pro_team_per_million,spring_practice,num_jcs,power
Colorado,2013,16297511,31,61,3,0,-1.99,-12.66,6.85,53613,89,10,6,3,0,0,0,1,1754185.333,90.96,0.760086924,0,0,1
Colorado,2014,21203086,34,58,3,0,-3.63,-1.99,5,53613,90,11,6,4,0,0,1,0,1780770.333,90.95,0.748739637,0,0,1
Colorado State,2010,2598888,74,24,1,0,-10.86,-9.14,8.73,32500,42,5,5,2,0,0,2,0,1682676.333,92.11,0.792388475,0,0,0
Colorado State,2011,2919883,68,34,1,0,-12.69,-10.86,8.36,32500,43,6,6,3,0,0,3,0,1705470.333,91,0.781798022,0,0,0
Colorado State,2012,3125537,66,33,1,0,-12.54,-12.69,7.89,32500,44,7,6,0,0,0,0,1,1728776.667,91.06,0.771258289,0,0,0
Colorado State,2013,2682907,68,35,1,0,-0.23,-12.54,6.85,32500,45,8,6,1,0,0,1,0,1754185.333,90.96,0.760086924,0,0,0
Colorado State,2014,9174312,75,27,0,0,5.47,-0.23,5,32500,46,9,6,2,1,0,2,0,1780770.333,90.95,0.748739637,0,0,0
Connecticut,2010,5769124,68,20,2,0,1.63,8.03,9.13,40000,7,7,6,10,0,0,10,0,3580171,92.21,0,1,0,1
Connecticut,2011,9483406,53,23,1,0,-0.42,1.63,8.83,40000,8,8,7,14,0,0,0,1,3591927,91.3,0,1,0,1
Connecticut,2012,7949473,50,29,1,0,-5.35,-0.42,8.35,40000,9,9,6,15,0,0,1,0,3597705,92.02,0,1,0,1
Connecticut,2013,5843681,46,38,0,0,-11.97,-5.35,7.81,40000,10,10,7,16,0,0,2,0,3602470,91.67,0,1,0,0
Connecticut,2014,11545999,47,32,0,0,-15.72,-11.97,6.62,40000,11,11,7,0,0,0,3,1,3600188,91.75,0,1,0,0
East Carolina,2010,7444109,65,26,0,0,-4.48,3.58,10.82,50000,47,0,6,0,0,0,0,1,1914849.4,88.06,0.313340569,1,1,0
East Carolina,2011,9267494,60,29,0,0,-5.04,-4.48,10.27,50000,48,1,6,1,0,0,1,0,1932588,87.1,0.310464517,1,1,0
East Carolina,2012,9433898,51,37,0,0,-4.23,-5.04,9.29,50000,49,2,6,2,0,0,2,0,1951059.8,87.26,0.307525172,1,1,0
East Carolina,2013,8577896,56,36,0,0,4.3,-4.23,7.96,50000,50,3,6,3,0,0,3,0,1969962.4,87.46,0.304574341,1,1,0
East Carolina,2014,12840661,69,29,0,0,2.35,4.3,6.32,50000,51,4,6,4,0,0,4,0,1656860,87.99,0.301775648,1,1,0
Florida,2010,53463277,3,21,54,15,9.3,21.15,11.03,88548,80,7,7,9,1,1,0,0,2692351.571,89.69,0.477543237,1,1,1
Florida,2011,56780183,3,22,49,11,6,9.3,9.99,88548,81,0,7,0,0,0,1,1,2728195.571,87.7,0.471269105,1,1,1
Florida,2012,57909498,2,26,47,10,17.35,6,8.48,88548,82,1,7,1,0,0,2,0,2763046.714,88.25,0.465324846,1,1,1
Florida,2013,57501850,3,33,52,9,4.67,17.35,7.23,88548,83,2,6,2,0,0,3,0,2797846.714,88.34,0.459537072,1,1,1
Florida,2014,63993697,2,39,47,6,8.12,4.67,6.27,88548,84,3,7,3,0,0,4,0,2842535.286,88.67,0.452312516,1,1,1
Florida Atlantic,2010,498517,67,6,0,0,-15.9,-9.74,11.03,29260,51,12,4,22,1,0,6,0,2692351.571,89.69,0.477543237,1,1,0
Florida Atlantic,2011,2183805,73,7,0,0,-22.63,-15.9,9.99,30000,0,0,5,23,1,0,7,0,2728195.571,87.7,0.471269105,1,1,0
Florida Atlantic,2012,4357901,73,16,0,0,-9.83,-22.63,8.48,30000,1,1,5,0,0,0,0,1,2763046.714,88.25,0.465324846,1,1,0
Florida Atlantic,2013,2008777,68,17,0,0,-3.53,-9.83,7.23,29495,2,2,5,1,0,0,1,0,2797846.714,88.34,0.459537072,1,1,0
Florida Atlantic,2014,3425430,75,20,0,0,-9.68,-3.53,6.27,29495,3,3,5,0,0,0,0,1,2842535.286,88.67,0.452312516,1,1,0
Florida International,2010,505200,62,21,1,0,-4.71,-11.15,11.03,20000,15,2,5,3,1,0,3,0,2692351.571,89.69,0.477543237,1,1,0
Florida International,2011,692047,60,29,1,0,-4.53,-4.71,9.99,20000,16,3,5,4,1,0,4,0,2728195.571,87.7,0.471269105,1,1,0
Florida International,2012,1068017,50,44,1,0,-9.1,-4.53,8.48,20000,17,0,6,5,1,0,5,0,2763046.714,88.25,0.465324846,1,1,0
Florida International,2013,712146,50,41,0,0,-23.53,-9.1,7.23,20000,18,1,6,9,1,0,0,1,2797846.714,88.34,0.459537072,1,1,0
Florida International,2014,975775,66,31,0,0,-6.95,-23.53,6.27,20000,19,2,8,10,1,0,1,0,2842535.286,88.67,0.452312516,1,1,0
Florida State,2010,13995430,13,40,39,6,14.2,6.08,11.03,82300,60,7,7,0,0,0,0,1,2692351.571,89.69,0.477543237,1,1,1
Florida State,2011,30814337,11,43,45,8,11.22,14.2,9.99,82300,61,8,7,1,0,0,1,0,2728195.571,87.7,0.471269105,1,1,1
Florida State,2012,43346132,3,40,42,9,13.56,11.22,8.48,82300,62,9,7,2,0,0,2,0,2763046.714,88.25,0.465324846,1,1,1
Florida State,2013,34556202,3,41,41,9,23.36,13.56,7.23,82300,63,10,7,3,1,1,3,0,2797846.714,88.34,0.459537072,1,1,1
Florida State,2014,55554154,5,38,45,10,14.48,23.36,6.27,82300,64,11,7,4,1,1,4,0,2842535.286,88.67,0.452312516,1,1,1
Fresno State,2010,7109538,49,34,2,0,0.18,1.34,12.23,41031,30,19,7,13,0,0,13,0,4665961.25,87.06,0.428636222,1,0,0
Fresno State,2011,8971040,42,31,2,0,-7.24,0.18,11.71,41031,31,20,6,14,0,0,14,0,4709081.75,82,0.424711251,1,0,0
Fresno State,2012,6398562,41,25,2,0,6.33,-7.24,10.38,41031,32,21,6,0,0,0,0,1,4752375.75,82.27,0.420842144,1,0,0
Fresno State,2013,6721515,47,32,1,0,5.04,6.33,8.94,41031,33,22,6,1,0,0,1,0,4793422.875,82.41,0.417238381,1,0,0
Fresno State,2014,11826399,64,23,0,0,-5.52,5.04,7.5,41031,34,23,6,2,0,0,2,0,4837659.75,82.85,0.41342304,1,0,0
